mm_category,mm_label,mm_order,year,total_gps,single_mms_gps,gp_fte,vr_gps_fte,nonvr_gps_fte,trainee_gps_fte
MM1,Major cities,1,2020,27395.0,26288.0,21682.9,19399.6,1214.1,1069.3
MM1,Major cities,1,2021,27601.0,26457.0,22957.1,20846.9,906.9,1203.3
MM1,Major cities,1,2022,27825.0,26648.0,22158.3,20386.3,593.5,1178.5
MM1,Major cities,1,2023,28052.0,26850.0,21449.8,19772.2,460.4,1217.3
MM1,Major cities,1,2024,28430.0,27209.0,21845.5,20210.1,447.1,1188.2
MM1,Major cities,1,2025,29367.0,28044.0,21994.7,20279.0,490.2,1225.5
MM2,Large regional cities,2,2020,4278.0,3536.0,2569.6,1990.9,250.5,328.3
MM2,Large regional cities,2,2021,4416.0,3639.0,2709.3,2064.5,167.2,477.5
MM2,Large regional cities,2,2022,4631.0,3774.0,2620.8,1923.1,64.1,633.6
MM2,Large regional cities,2,2023,4763.0,3908.0,2656.9,1884.3,59.0,713.5
MM2,Large regional cities,2,2024,5077.0,4131.0,2817.0,1945.8,79.6,791.6
MM2,Large regional cities,2,2025,5410.0,4406.0,2977.0,1990.3,72.8,913.9
MM3,Medium rural towns,3,2020,3585.0,2866.0,2047.6,1471.3,257.1,319.2
MM3,Medium rural towns,3,2021,3759.0,2983.0,2168.8,1578.2,158.9,431.7
MM3,Medium rural towns,3,2022,3886.0,3072.0,2082.1,1455.3,60.5,566.3
MM3,Medium rural towns,3,2023,4013.0,3152.0,2079.3,1382.3,56.3,640.6
MM3,Medium rural towns,3,2024,4276.0,3257.0,2172.3,1422.2,76.8,673.3
MM3,Medium rural towns,3,2025,4514.0,3471.0,2272.2,1461.2,76.3,734.8
MM4,Small rural towns,4,2020,2692.0,1922.0,1273.9,848.2,168.0,257.8
MM4,Small rural towns,4,2021,2689.0,1974.0,1332.9,897.0,119.0,316.9
MM4,Small rural towns,4,2022,2735.0,2007.0,1265.8,824.6,46.5,394.7
MM4,Small rural towns,4,2023,2823.0,2016.0,1257.9,780.9,35.2,441.8
MM4,Small rural towns,4,2024,2950.0,2082.0,1292.9,788.3,53.2,451.5
MM4,Small rural towns,4,2025,3116.0,2212.0,1337.8,804.6,44.3,488.8
MM5,Very small rural towns,5,2020,3379.0,2162.0,1417.7,934.5,201.9,281.3
MM5,Very small rural towns,5,2021,3475.0,2233.0,1524.3,982.9,144.7,396.7
MM5,Very small rural towns,5,2022,3544.0,2290.0,1454.7,916.3,44.1,494.3
MM5,Very small rural towns,5,2023,3630.0,2313.0,1423.9,898.4,44.9,480.6
MM5,Very small rural towns,5,2024,3748.0,2435.0,1492.3,947.8,43.2,501.3
MM5,Very small rural towns,5,2025,3926.0,2490.0,1540.2,962.3,47.9,530.0
MM6,Remote communities,6,2020,924.0,476.0,214.5,156.0,17.3,41.1
MM6,Remote communities,6,2021,982.0,502.0,219.2,160.4,12.0,46.7
MM6,Remote communities,6,2022,1032.0,472.0,200.0,148.8,6.1,45.2
MM6,Remote communities,6,2023,1090.0,531.0,197.5,146.7,6.3,44.4
MM6,Remote communities,6,2024,1091.0,554.0,201.4,155.2,3.8,42.4
MM6,Remote communities,6,2025,1176.0,540.0,201.5,150.3,4.4,46.8
MM7,Very remote communities,7,2020,1089.0,587.0,147.1,114.0,7.0,26.2
MM7,Very remote communities,7,2021,1115.0,569.0,144.8,116.6,3.9,24.2
MM7,Very remote communities,7,2022,1211.0,618.0,138.8,110.3,3.3,25.3
MM7,Very remote communities,7,2023,1327.0,679.0,149.9,122.8,3.6,23.5
MM7,Very remote communities,7,2024,1319.0,707.0,154.6,124.4,2.3,27.9
MM7,Very remote communities,7,2025,1310.0,699.0,152.1,122.9,1.5,27.7
