State / Territory,Profession,Headcount,Total FTE,Average Age,Average Total Hours
NSW,ATSI Health Practitioners,203,199,42.2,37.3
NSW,Chiropractors,1966,1738,41.8,33.6
NSW,Chinese Medicine Practitioners,1628,1227,53.9,28.6
NSW,Dental Practitioners,7388,6790,43.4,34.9
NSW,Medical Practitioners,36640,37233,46.2,40.6
NSW,Paramedicine Practitioners,5850,6866,37.5,44.6
NSW,Psychologists,11848,9872,46.2,31.7
VIC,ATSI Health Practitioners,39,38,40.7,37.2
VIC,Chiropractors,1444,1170,42.5,30.8
VIC,Chinese Medicine Practitioners,1192,902,49.8,28.7
VIC,Dental Practitioners,6105,5497,41.7,34.2
VIC,Medical Practitioners,31508,31134,44.9,39.5
VIC,Paramedicine Practitioners,4200,4950,38.0,43.5
VIC,Psychologists,9200,7800,45.2,32.0
QLD,ATSI Health Practitioners,140,154,48.5,41.9
QLD,Chiropractors,1000,859,44.3,32.6
QLD,Chinese Medicine Practitioners,774,601,51.7,29.5
QLD,Dental Practitioners,5128,4696,41.6,34.8
QLD,Medical Practitioners,25515,25837,44.8,40.5
QLD,Paramedicine Practitioners,3800,4200,37.0,45.0
QLD,Psychologists,6500,5400,44.5,32.5
SA,ATSI Health Practitioners,78,88,44.8,42.7
SA,Chiropractors,373,299,46.6,30.5
SA,Chinese Medicine Practitioners,189,140,50.1,28.2
SA,Dental Practitioners,1990,1725,41.7,32.9
SA,Medical Practitioners,8550,8676,45.5,40.6
SA,Paramedicine Practitioners,1518,1817,37.4,45.5
SA,Psychologists,1811,1504,45.9,31.5
WA,ATSI Health Practitioners,130,145,44.4,42.4
WA,Chiropractors,853,674,37.7,30.0
WA,Chinese Medicine Practitioners,230,181,52.0,29.9
WA,Dental Practitioners,2897,2513,42.3,33.0
WA,Medical Practitioners,13055,12918,44.6,39.6
WA,Osteopaths,76,67,44.1,33.3
WA,Pharmacists,3595,3255,40.1,34.4
WA,Physiotherapists,4593,4048,37.4,33.5
WA,Podiatrists,541,483,41.0,33.9
WA,Paramedicine Practitioners,1801,2336,39.0,49.3
WA,Psychologists,3972,3266,46.0,31.2
TAS,ATSI Health Practitioners,0,0,42.8,36.8
TAS,Chiropractors,71,61,44.1,32.6
TAS,Chinese Medicine Practitioners,43,32,49.7,28.7
TAS,Dental Practitioners,421,389,42.6,35.1
TAS,Medical Practitioners,2906,2902,45.0,39.9
TAS,Paramedicine Practitioners,450,510,39.5,44.0
TAS,Psychologists,850,710,46.5,31.0
ACT,Dental Practitioners,350,320,42.0,34.5
ACT,Medical Practitioners,2389,2448,45.4,41.0
ACT,Psychologists,950,810,44.8,31.5
NT,Dental Practitioners,110,105,41.0,36.0
NT,Medical Practitioners,1312,1380,43.5,42.5
NT,Psychologists,280,250,43.0,33.0
