year,barrier_type,pct
2013–14,Cost barrier,4.9
2013–14,Other barriers,25.6
2014–15,Cost barrier,5.0
2014–15,Other barriers,24.9
2015–16,Cost barrier,4.1
2015–16,Other barriers,22.9
2016–17,Cost barrier,4.1
2016–17,Other barriers,22.0
2017–18,Cost barrier,4.0
2017–18,Other barriers,23.4
2018–19,Cost barrier,3.4
2018–19,Other barriers,19.5
2019–20,Cost barrier,3.7
2019–20,Other barriers,22.0
2020–21,Cost barrier,2.4
2020–21,Other barriers,20.6
2021–22,Cost barrier,3.5
2021–22,Other barriers,24.8
2022–23,Cost barrier,7.0
2022–23,Other barriers,23.3
2023–24,Cost barrier,8.8
2023–24,Other barriers,20.4
2024–25,Cost barrier,7.7
2024–25,Other barriers,18.9
