year,service,needed_pct
2013–14,GP,83.2
2016–17,GP,83.3
2019–20,GP,83.8
2022–23,GP,83.6
2024–25,GP,84.2
2013–14,After-Hours GP,10.8
2016–17,After-Hours GP,10.4
2019–20,After-Hours GP,9.3
2022–23,After-Hours GP,8.8
2024–25,After-Hours GP,7.4
2013–14,Dental,59.7
2016–17,Dental,58.0
2019–20,Dental,59.3
2022–23,Dental,62.2
2024–25,Dental,62.5
2013–14,Hospital,13.6
2016–17,Hospital,13.3
2019–20,Hospital,13.2
2022–23,Hospital,13.9
2024–25,Hospital,13.5
2013–14,ED,14.3
2016–17,ED,13.8
2019–20,ED,14.4
2022–23,ED,15.2
2024–25,ED,15.5
