pha_code,pha_name,ed_rate_per_100k,poor_health_pct,population,area_type
20022,Abbotsford/ Yarra - North,17418.34766045499,9.713546415478614,19236.0,Metro Melbourne
20076,Airport West/ Avondale Heights/ Keilor East,24759.716624305245,12.066563616521574,35901.0,Metro Melbourne
20015,Albert Park,13372.466777683907,10.050780589805903,16011.0,Metro Melbourne
20222,Alexandra/ Euroa/ Nagambie/ Upper Yarra Valley,22376.514350360507,14.29737577298368,18386.0,Metro Melbourne
20184,Alfredton/ Buninyong/ Smythes Creek,29542.50392080017,15.999233978675983,28281.0,Metro Melbourne
20003,Alphington - Fairfield/ Northcote,25031.136558920418,10.398664931175528,34722.0,Metro Melbourne
20238,Alps - East/ Bruthen - Omeo/ Orbost/ Paynesville,36584.38862005539,14.375734580508723,21840.0,Metro Melbourne
20247,Alps - West/ Maffra/ Rosedale,37373.35542051857,15.825839206001616,19633.0,Metro Melbourne
20151,Altona,30455.614251624964,11.62567826661084,13655.0,Metro Melbourne
20152,Altona Meadows,30816.765337488716,14.632395555873767,18660.0,Metro Melbourne
20153,Altona North,37938.15992835595,13.996444649758239,15084.0,Metro Melbourne
20250,Ararat Region,13862.103913660632,14.406771968886867,3184.0,Metro Melbourne
20251,Ararat/ St Arnaud/ Stawell,11052.822542325242,15.35675602765334,20365.0,Metro Melbourne
20142,Ardeer - Albion/ Sunshine/ Sunshine West,26591.76640818515,15.357728537627974,35928.0,Metro Melbourne
20020,Armadale/ Toorak,13237.535213259765,9.002898906232879,22529.0,Metro Melbourne
20005,Ascot Vale,24352.19478497896,15.737158119696172,15351.0,Metro Melbourne
20026,Ashburton (Vic.),16037.563300583426,9.007682142567493,8021.0,Metro Melbourne
20137,Ashwood - Chadstone/ Oakleigh - Huntingdale,22165.79654311295,12.43971839553546,43035.0,Metro Melbourne
20192,Avoca/ Beaufort/ Maryborough Region,19698.688273480046,15.718228941889306,13601.0,Metro Melbourne
20160,Bacchus Marsh,19170.93187482586,15.70887505096905,25057.0,Metro Melbourne
20189,Bacchus Marsh Region/ Gordon (Vic.),21768.64156203252,14.440897767531014,12873.0,Metro Melbourne
20239,Bairnsdale/ Lake King/ Lakes Entrance,45097.669262377116,16.422435128719663,26748.0,Metro Melbourne
20185,Ballarat,14869.390809191764,13.220728573793442,12071.0,Metro Melbourne
20187,Ballarat - South/ Delacombe,33450.00658885303,19.95134360866152,35916.0,Metro Melbourne
20186,Ballarat East/ Ballarat North,24588.894818184664,15.194671758566965,24355.0,Metro Melbourne
20027,Balwyn/ Balwyn North,14461.247487056304,9.580126547184209,37729.0,Metro Melbourne
20208,Bannockburn/ Golden Plains - South/ Winchelsea,17015.310302948437,14.81750391180075,22397.0,Metro Melbourne
20100,Bayswater North/ Ringwood East,25566.575119449368,14.053285115318408,33318.0,Metro Melbourne
20094,Bayswater/ Boronia/ The Basin,28522.152494554994,15.387935301807145,40925.0,Metro Melbourne
20114,Beaconsfield - Officer/ Emerald - Cockatoo,26013.35882096486,15.089271244368692,42768.0,Metro Melbourne
20039,Beaumaris/ Sandringham - Black Rock,21393.901759267006,8.486412503436764,31644.0,Metro Melbourne
20231,Beechworth/ Chiltern - Indigo Valley,39476.46561185834,14.197281031972715,8110.0,Metro Melbourne
20209,Belmont/ Geelong,21593.183637643226,13.415259729077246,28487.0,Metro Melbourne
20227,Benalla,22517.34514184814,15.628708602460511,10753.0,Metro Melbourne
20228,Benalla Region/ Wangaratta Region,39203.28577333847,13.792376529859679,13621.0,Metro Melbourne
20195,Bendigo,54884.04037384573,18.612974006621638,14955.0,Metro Melbourne
20197,Bendigo - Central East,33918.81087991818,17.051080963504425,37801.0,Metro Melbourne
20206,Bendigo Region - North,36740.35586365697,15.080603420985167,4908.0,Metro Melbourne
20201,Bendigo Region - South,29776.7931958043,13.96766865887828,8311.0,Metro Melbourne
20043,Bentleigh - McKinnon/ Bentleigh East,17752.163653647232,12.96907731102504,56119.0,Metro Melbourne
20118,Berwick - North/ Narre Warren North,44473.08101553851,12.107981576377814,31489.0,Metro Melbourne
20119,Berwick - South,340.1449975580816,16.695855750212193,29348.0,Metro Melbourne
20035,Blackburn/ Blackburn South,18860.34198539856,11.923137773312511,33375.0,Metro Melbourne
20036,Box Hill/ Box Hill North,19344.625711087756,11.511083764029404,41504.0,Metro Melbourne
20156,Braybrook,27703.577608723102,14.43880987292,19359.0,Metro Melbourne
20232,Bright - Mount Beauty/ Towong,21554.284569187734,13.55028710506545,15013.0,Metro Melbourne
20040,Brighton (Vic.)/ Brighton East,16937.86960305181,8.545902113196451,39736.0,Metro Melbourne
20087,Broadmeadows,40649.48150572516,21.28698089789464,14063.0,Metro Melbourne
20000,Brunswick West/ Pascoe Vale South,26470.069491200105,14.809408176101748,24960.0,Regional Victoria
20001,Brunswick/ Brunswick East,23835.063345302977,12.797443637957896,39249.0,Metro Melbourne
20032,Bulleen/ Doncaster,19497.679199359154,10.879023269123044,36543.0,Metro Melbourne
20259,Buloke/ Gannawarra/ Kerang,27449.66870876245,14.806590056689902,16746.0,Metro Melbourne
20054,Bundoora - East/ Watsonia,50066.71000395611,13.570673872355146,19225.0,Metro Melbourne
20068,Bundoora - North,107.7669507938837,12.931956702222084,7424.0,Metro Melbourne
20069,Bundoora - West,135.5024755920631,13.639137100009732,6237.0,Metro Melbourne
20115,Bunyip - Garfield,26449.129166609007,13.773430891992243,9940.0,Metro Melbourne
20037,Burwood/ Burwood East,19540.14555464685,12.157060749902984,23296.0,Metro Melbourne
20143,Cairnlea,21327.16056782148,15.047675032562644,10142.0,Metro Melbourne
20196,California Gully - Eaglehawk,44785.47269329764,21.507067295958496,12932.0,Metro Melbourne
20028,Camberwell/ Surrey Hills (West) - Canterbury,16015.217434010683,8.70168196104106,37583.0,Metro Melbourne
20088,Campbellfield - Coolaroo,33777.61770246728,21.77062514118798,16245.0,Metro Melbourne
20271,Camperdown/ Corangamite - North,19046.535817793298,14.81279708034249,8831.0,Metro Melbourne
20008,Carlton,23326.14206435694,10.39459104044143,17064.0,Metro Melbourne
20023,Carlton North - Princes Hill/ Fitzroy North,23182.32111586713,10.73280884797627,21235.0,Metro Melbourne
20044,Carnegie/ Ormond - Glen Huntly,16368.134463388358,11.715631867556443,32071.0,Metro Melbourne
20161,Caroline Springs,25585.00372322688,15.794800261767678,32931.0,Metro Melbourne
20050,Carrum - Patterson Lakes,21926.699517473622,13.207771854482955,12115.0,Metro Melbourne
20172,Carrum Downs/ Seaford (Vic.),29870.596144774718,17.370880610526918,39626.0,Metro Melbourne
20202,Castlemaine/ Castlemaine Region,15688.037573612259,14.597324150188566,20438.0,Metro Melbourne
20045,Caulfield - North/ Caulfield - South,15004.565016229057,11.666252389376716,40951.0,Metro Melbourne
20051,Chelsea - Bonbeach/ Chelsea Heights,22905.80498057065,13.053894806555078,20743.0,Metro Melbourne
20041,Cheltenham - Highett (West),23727.132298508146,10.196460238950614,12543.0,Metro Melbourne
20108,Chirnside Park/ Montrose/ Mooroolbark,25646.275772943663,14.46232164432155,42311.0,Metro Melbourne
20244,Churchill,37311.62623029505,16.97375919236748,11858.0,Metro Melbourne
20130,Clarinda - Oakleigh South/ Clayton South,17977.06151817024,12.641255619853649,25215.0,Metro Melbourne
20138,Clayton,17842.264100810076,11.717980586058191,22375.0,Metro Melbourne
20218,Clifton Springs,21082.726490317957,15.03980403104952,16729.0,Metro Melbourne
20264,Cobram/ Numurkah,31942.928235719894,16.414046917362548,18942.0,Metro Melbourne
20002,Coburg,27363.541999776648,14.863292446151268,26859.0,Metro Melbourne
20082,Coburg North,27457.273575546675,13.003250971274303,8513.0,Metro Melbourne
20272,Colac,5737.570135648351,15.899398842217382,12698.0,Metro Melbourne
20273,Colac Region/ Corangamite – South / Otway,13465.927923652756,14.507761010836697,16770.0,Metro Melbourne
20024,Collingwood/ Fitzroy,30866.568349265337,13.045234322766209,19959.0,Metro Melbourne
20210,Corio - Lovely Banks/ Norlane,35467.06487691063,22.592943282020958,27396.0,Metro Melbourne
20089,Craigieburn - Mickleham,27768.3337406549,20.953295101337957,89607.0,Metro Melbourne
20124,Cranbourne East/ Cranbourne South,23666.73475109332,19.26883501857155,87649.0,Metro Melbourne
20125,Cranbourne North,23592.47686397439,21.490588759277657,24967.0,Metro Melbourne
20126,Cranbourne/ Cranbourne West,27791.917874057704,20.406602681293045,43434.0,Metro Melbourne
20190,Creswick - Clunes,24866.86807942954,14.890853081223716,8041.0,Metro Melbourne
20101,Croydon,27075.759907134416,14.71030129704167,35418.0,Metro Melbourne
20102,Croydon Hills - Warranwood/ Ringwood North,21836.216209822578,12.635666544853553,27955.0,Metro Melbourne
20131,Dandenong,38413.96734111186,18.747681982255344,31311.0,Metro Melbourne
20132,Dandenong North/ Noble Park North,24378.192326241293,16.4414345018636,30352.0,Metro Melbourne
20191,Daylesford,15562.226226235345,13.513000886492247,9874.0,Metro Melbourne
20144,Deer Park/ Derrimut,25011.00852185586,17.8747933145635,26967.0,Metro Melbourne
20145,Delahey,29870.631380391096,16.694283143111736,8148.0,Metro Melbourne
20133,Dingley Village,20235.638079715507,12.19332885468611,10553.0,Metro Melbourne
20009,Docklands/ Southbank,16145.995346628559,10.060811181951925,39018.0,Metro Melbourne
20033,Doncaster East,18021.63074821026,10.584483286445804,31379.0,Metro Melbourne
20099,Donvale - Park Orchards/ Warrandyte - Wonga Park,18189.78651482078,10.140327266739668,26591.0,Metro Melbourne
20074,Doreen/ Mernda/ South Morang,27418.380164912527,17.67811864867029,75945.0,Metro Melbourne
20120,Doveton,35216.312292149654,21.05775586431096,12058.0,Metro Melbourne
20177,Dromana,28580.380582086305,13.672612018338583,13469.0,Metro Melbourne
20236,Drouin,34206.22368691739,17.3686038731259,19800.0,Metro Melbourne
20010,East Melbourne/ South Yarra - West,8529.317774179946,8.522510574975083,11495.0,Metro Melbourne
20262,Echuca/ Lockington - Gunbower,66747.92341244016,16.30028937326025,19501.0,Metro Melbourne
20046,Elsternwick,17653.436972979493,11.489239563323661,12030.0,Metro Melbourne
20064,Eltham,22881.83344070548,11.94942305294994,23707.0,Metro Melbourne
20016,Elwood,20525.27301660284,11.657061741178078,15032.0,Metro Melbourne
20121,Endeavour Hills,25665.1358968821,15.1330477665605,25651.0,Metro Melbourne
20070,Epping / Wollert,31453.683121098515,18.50228498845528,58634.0,Metro Melbourne
20006,Essendon - Aberfeldie/ Moonee Ponds,20990.92614461219,11.634238283843507,44889.0,Metro Melbourne
20083,Fawkner,32507.036831836744,16.066328925060912,14184.0,Metro Melbourne
20095,Ferntree Gully,32240.565519861797,14.599608864683306,29698.0,Metro Melbourne
20007,Flemington,31160.018720897733,17.09809896597168,9181.0,Metro Melbourne
20011,Flemington Racecourse/ Kensington,26021.80686911163,14.218815301600785,10950.0,Metro Melbourne
20178,Flinders/ Mount Martha,17729.954652282435,9.44780976125352,26050.0,Metro Melbourne
20157,Footscray/ West Footscray - Tottenham,28994.168910603963,13.042530290878895,29300.0,Metro Melbourne
20104,Forest Hill,19090.548633419083,12.620594830054683,10866.0,Metro Melbourne
20240,Foster/ Korumburra/ Leongatha/ Wilsons Promontory,20743.756292774906,14.759650779330885,30619.0,Metro Melbourne
