year,service,unmet_pct
2013–14,GP,1.2
2016–17,GP,0.9
2019–20,GP,0.7
2022–23,GP,1.5
2024–25,GP,1.0
2013–14,Dental,16.8
2016–17,Dental,17.2
2019–20,Dental,16.5
2022–23,Dental,16.0
2024–25,Dental,13.8
2013–14,Hospital,6.0
2016–17,Hospital,5.7
2019–20,Hospital,5.5
2022–23,Hospital,9.0
2024–25,Hospital,7.1
2013–14,After-Hours GP,25.2
2016–17,After-Hours GP,18.8
2019–20,After-Hours GP,23.5
2022–23,After-Hours GP,37.8
2024–25,After-Hours GP,27.9
2013–14,Medical Specialist,7.1
2016–17,Medical Specialist,6.9
2019–20,Medical Specialist,7.4
2022–23,Medical Specialist,10.2
2024–25,Medical Specialist,6.2
