locality,year,price
ABBOTSFORD,2021,1375000.0
ABERFELDIE,2021,1700000.0
AINTREE,2021,717500.0
AIREYS INLET,2021,1522000.0
AIRPORT WEST,2021,889500.0
ALBANVALE,2021,579000.0
ALBERT PARK,2021,2390000.0
ALBION,2021,950000.0
ALEXANDRA,2021,402500.0
ALFREDTON,2021,585000.0
ALPHINGTON,2021,2600000.0
ALTONA,2021,957500.0
ALTONA EAST,2021,910500.0
ALTONA MEADOWS,2021,640000.0
ALTONA NORTH,2021,865000.0
ANGLESEA,2021,1200000.0
APOLLO BAY,2021,862500.0
ARARAT,2021,286000.0
ARDEER,2021,658000.0
ARMADALE,2021,2197500.0
ARMSTRONG CREEK,2021,597500.0
ASCOT (GREATER BENDIGO),2021,463000.0
ASCOT VALE,2021,1175000.0
ASHBURTON,2021,1650000.0
ASHWOOD,2021,1350000.0
ASPENDALE,2021,1150000.0
ASPENDALE GARDENS,2021,1070000.0
ATTWOOD,2021,880000.0
AVENEL,2021,500000.0
AVOCA,2021,268000.0
AVONDALE HEIGHTS,2021,841000.0
AVONSLEIGH,2021,752000.0
BACCHUS MARSH,2021,555000.0
BADGER CREEK,2021,626500.0
BAIRNSDALE,2021,327000.0
BALACLAVA,2021,1272500.0
BALCOMBE,2021,1458000.0
BALLAN,2021,640000.0
BALLARAT CENTRAL,2021,652500.0
BALLARAT EAST,2021,430000.0
BALLARAT NORTH,2021,542500.0
BALNARRING,2021,1125000.0
BALNARRING BEACH,2021,1248500.0
BALWYN,2021,2450000.0
BALWYN NORTH,2021,2080000.0
BANNOCKBURN,2021,635000.0
BARANDUDA,2021,435000.0
BARNAWARTHA,2021,359000.0
BARWON HEADS,2021,1525500.0
BAXTER,2021,565000.0
BAYSWATER,2021,818000.0
BAYSWATER NORTH,2021,800500.0
BEACONSFIELD,2021,862500.0
BEAUFORT,2021,320000.0
BEAUMARIS,2021,1725000.0
BEECHWORTH,2021,530000.0
BELGRAVE,2021,717000.0
BELGRAVE HEIGHTS,2021,740000.0
BELGRAVE SOUTH,2021,660000.0
BELL PARK,2021,568000.0
BELL POST HILL,2021,540000.0
BELLFIELD (BANYULE),2021,843000.0
BELMONT,2021,710500.0
BENALLA,2021,351500.0
BENDIGO,2021,510000.0
BENTLEIGH,2021,1541500.0
BENTLEIGH EAST,2021,1373500.0
BERWICK,2021,770000.0
BEVERIDGE,2021,616000.0
BIRCHIP,2021,110000.0
BIRREGURRA,2021,891000.0
BITTERN,2021,610000.0
BLACK HILL,2021,595000.0
BLACK ROCK,2021,2450000.0
BLACKBURN,2021,1481000.0
BLACKBURN NORTH,2021,1302000.0
BLACKBURN SOUTH,2021,1232000.0
BLACKWOOD,2021,600000.0
BLAIRGOWRIE,2021,1400000.0
BLIND BIGHT,2021,605000.0
BONBEACH,2021,871500.0
BONNIE DOON,2021,480000.0
BONSHAW,2021,510000.0
BOOLARRA,2021,310000.0
BOORT,2021,235000.0
BORONIA,2021,780000.0
BOTANIC RIDGE,2021,802500.0
BOX HILL,2021,1570000.0
BOX HILL NORTH,2021,1276000.0
BOX HILL SOUTH,2021,1252000.0
BRAYBROOK,2021,707500.0
BREAKWATER,2021,456500.0
BRIAGOLONG,2021,411500.0
BRIAR HILL,2021,911000.0
BRIGHT,2021,819000.0
BRIGHTON,2021,2842500.0
BRIGHTON EAST,2021,1978500.0
BROADFORD,2021,510000.0
BROADMEADOWS,2021,550000.0
BROOKFIELD,2021,495000.0
BROOKLYN,2021,820000.0
BROWN HILL,2021,586500.0
BRUNSWICK,2021,1257000.0
BRUNSWICK EAST,2021,1535000.0
BRUNSWICK WEST,2021,1245500.0
BRUTHEN,2021,282500.0
BULLEEN,2021,1100000.0
BUNDALONG,2021,652500.0
BUNDOORA,2021,810000.0
BUNINYONG,2021,673500.0
BUNYIP,2021,555000.0
BURNSIDE,2021,635000.0
BURNSIDE HEIGHTS,2021,686000.0
BURWOOD,2021,1392500.0
BURWOOD EAST,2021,1170000.0
CAIRNLEA,2021,735000.0
CALIFORNIA GULLY,2021,367000.0
CAMBERWELL,2021,2136000.0
CAMPBELLFIELD,2021,550000.0
CAMPBELLS CREEK,2021,623500.0
CAMPERDOWN,2021,304000.0
CANADIAN,2021,458000.0
CANTERBURY,2021,2830000.0
CAPE PATERSON,2021,668000.0
CAPE SCHANCK,2021,760000.0
CAPEL SOUND,2021,684000.0
CARISBROOK,2021,269500.0
CARLTON,2021,1220000.0
CARLTON NORTH,2021,1500000.0
CARNEGIE,2021,1548000.0
CAROLINE SPRINGS,2021,670000.0
CARRUM,2021,880000.0
CARRUM DOWNS,2021,629000.0
CASTERTON,2021,170000.0
CASTLEMAINE,2021,658500.0
CAULFIELD,2021,1610000.0
CAULFIELD EAST,2021,1752500.0
CAULFIELD NORTH,2021,2100000.0
CAULFIELD SOUTH,2021,1625000.0
CHADSTONE,2021,1048000.0
CHARLEMONT,2021,525000.0
CHARLTON,2021,162000.0
CHELSEA,2021,988000.0
CHELSEA HEIGHTS,2021,940000.0
CHELTENHAM,2021,1232500.0
CHELTENHAM EAST,2021,1115000.0
CHELTENHAM NORTH,2021,999500.0
CHEWTON,2021,803000.0
CHILTERN,2021,295000.0
