sa3_code,sa3_name,ed_asr_per_100k,poor_health_pct
20101,Ballarat,27433.1,17.21
20102,Creswick - Daylesford - Ballan,20478.1,14.23
20103,Maryborough - Pyrenees,19200.9,16.42
20201,Bendigo,38011.9,17.52
20202,Heathcote - Castlemaine - Kyneton,19215.7,13.88
20203,Loddon - Elmore,30583.1,14.94
20301,Barwon - West,16417.6,14.82
20302,Geelong,22109.6,15.34
20303,Surf Coast - Bellarine Peninsula,16771.9,12.72
20401,Upper Goulburn Valley,19511.3,15.15
20402,Wangaratta - Benalla,43607.2,15.6
20403,Wodonga - Alpine,41837.2,16.26
20501,Baw Baw,32460.2,15.92
20502,Gippsland - East,41064.5,15.46
20503,Gippsland - South West,29585.8,14.82
20504,Latrobe Valley,41406.0,17.73
20505,Wellington,39953.7,15.64
20601,Brunswick - Coburg,25335.1,13.98
20602,Darebin - South,24897.0,10.93
20603,Essendon,22331.9,13.17
20604,Melbourne City,21337.6,10.97
20605,Port Phillip,22845.2,10.84
20606,Stonnington - West,20350.7,9.45
20607,Yarra,22840.9,11.19
20701,Boroondara,15422.0,9.31
20702,Manningham - West,18984.4,10.74
20703,Whitehorse - West,18496.7,11.54
20801,Bayside,20749.9,8.8
20802,Glen Eira,17419.8,12.17
20803,Kingston,22308.3,11.89
20804,Stonnington - East,9725.1,9.8
20901,Banyule,28998.1,12.32
20902,Darebin - North,26599.7,13.53
20903,Nillumbik - Kinglake,19589.6,12.37
20904,Whittlesea - Wallan,26572.6,16.86
21001,Keilor,22562.1,11.62
21002,Macedon Ranges,18072.1,13.03
21003,Moreland - North,26565.2,15.47
21004,Sunbury,24653.3,15.66
21005,Tullamarine - Broadmeadows,28800.7,20.26
21101,Knox,25015.4,13.99
21102,Manningham - East,18918.4,10.14
21103,Maroondah,25344.0,13.97
21104,Whitehorse - East,18541.0,12.35
21105,Yarra Ranges,26229.6,14.58
21201,Cardinia,26219.4,17.42
21202,Casey - North,26239.7,15.91
21203,Casey - South,24203.2,19.44
21204,Dandenong,24272.4,15.68
21205,Monash,17811.1,11.11
21301,Brimbank,26618.1,16.03
21302,Hobsons Bay,32524.2,12.63
21303,Maribyrnong,25782.9,12.99
21304,Melton - Bacchus Marsh,23254.3,19.26
21305,Wyndham,22467.8,18.7
21401,Frankston,28816.0,16.45
21402,Mornington Peninsula,25456.7,12.72
21501,Grampians,29801.4,15.33
21502,Mildura,43090.3,17.65
21503,Murray River - Swan Hill,48202.4,15.16
21601,Campaspe,51250.4,16.39
21602,Moira,28639.1,15.78
21603,Shepparton,43127.3,17.63
21701,Glenelg - Southern Grampians,29970.8,15.46
21703,Colac - Corangamite,12532.5,15.02
21704,Warrnambool,35519.2,15.85
