sa4_name,ed_rate_per_100k,poor_health_pct,area_type
Ballarat,26024.978100655986,16.495789836701714,Regional Victoria
Bendigo,32163.123379750672,16.081847078710112,Regional Victoria
Geelong,20091.553220658305,14.482079065710368,Regional Victoria
Hume,36069.907235014,15.706000888370747,Regional Victoria
Latrobe - Gippsland,37080.24042212817,15.944338128373555,Regional Victoria
Melbourne - Inner,22538.883636492494,11.51027587658261,Metro Melbourne
Melbourne - Inner East,17129.427316196405,10.332069692938887,Metro Melbourne
Melbourne - Inner South,18537.876588623898,10.99130715102343,Metro Melbourne
Melbourne - North East,27721.08725180432,14.550132106459959,Metro Melbourne
Melbourne - North West,27299.496092350386,16.764514883436863,Metro Melbourne
Melbourne - Outer East,24341.183022116846,13.753150610170863,Metro Melbourne
Melbourne - South East,23358.967388405345,15.796379180840981,Metro Melbourne
Melbourne - West,25205.515272206983,16.90097660001838,Metro Melbourne
Mornington Peninsula,26728.282016250603,14.254566427912506,Metro Melbourne
North West,39858.34003764793,16.1000297939558,Regional Victoria
Shepparton,42793.9828676171,16.82087846301394,Regional Victoria
Warrnambool and South West,27388.02880783551,15.484999663464299,Regional Victoria
