location,profession,pct,fte
Major Cities,ATSI Health Practitioners,100.0,168
Outer Regional,ATSI Health Practitioners,132.7,223
Major Cities,Chinese Medicine Practitioners,100.0,2697
Outer Regional,Chinese Medicine Practitioners,3.0,81
Major Cities,Chiropractors,100.0,3714
Outer Regional,Chiropractors,7.1,262
Major Cities,Dental Practitioners,100.0,17674
Outer Regional,Dental Practitioners,6.3,1116
Major Cities,Medical Practitioners,100.0,96998
Outer Regional,Medical Practitioners,6.7,6500
Major Cities,Paramedicine Practitioners,100.0,15110
Outer Regional,Paramedicine Practitioners,0.0,0
Major Cities,Podiatrists,100.0,4024
Outer Regional,Podiatrists,0.0,0
Major Cities,Psychologists,100.0,25653
Outer Regional,Psychologists,0.0,0
